"ANO","ELECCION","CODIGO_ESTADO","NOMBRE_ESTADO","CODIGO_MUNICIPIO","NOMBRE_MUNICIPIO","DISTRITO_FEDERAL","SECCION","NOMINAL","PAN","PRI","PRD","PNA","PT","PVEM"
2009,"dif",19,"nuevo leon",6,"apodaca",2,76,1276,106,364,10,19,15,23
2009,"dif",19,"nuevo leon",6,"apodaca",2,77,14407,2402,3148,164,304,102,449
2009,"dif",19,"nuevo leon",6,"apodaca",2,78,1618,164,468,22,23,6,41
2009,"dif",19,"nuevo leon",6,"apodaca",2,79,1924,205,502,20,36,21,53
2009,"dif",19,"nuevo leon",6,"apodaca",2,80,1032,128,353,6,17,9,24
2009,"dif",19,"nuevo leon",6,"apodaca",2,81,3566,822,630,40,128,31,146
2009,"dif",19,"nuevo leon",6,"apodaca",2,82,945,163,230,14,36,13,37
2009,"dif",19,"nuevo leon",6,"apodaca",2,83,674,95,186,8,19,4,30
2009,"dif",19,"nuevo leon",6,"apodaca",2,84,8212,1418,1841,82,332,57,242
2009,"dif",19,"nuevo leon",6,"apodaca",2,85,1952,222,567,19,24,19,55
2009,"dif",19,"nuevo leon",6,"apodaca",2,86,2376,292,561,18,144,24,39
2009,"dif",19,"nuevo leon",6,"apodaca",2,87,1876,279,460,21,48,17,61
2009,"dif",19,"nuevo leon",6,"apodaca",2,88,3035,508,742,34,85,27,99
2009,"dif",19,"nuevo leon",6,"apodaca",2,89,1993,298,599,29,45,7,47
2009,"dif",19,"nuevo leon",6,"apodaca",2,90,1608,277,408,16,53,9,46
2009,"dif",19,"nuevo leon",6,"apodaca",2,91,1292,195,368,16,52,9,30
2009,"dif",19,"nuevo leon",6,"apodaca",2,92,1797,287,486,22,33,14,55
2009,"dif",19,"nuevo leon",6,"apodaca",2,93,1543,298,388,20,52,16,46
2009,"dif",19,"nuevo leon",6,"apodaca",2,94,1761,205,514,16,31,19,36
2009,"dif",19,"nuevo leon",6,"apodaca",2,95,2388,605,537,34,68,21,89
2009,"dif",19,"nuevo leon",6,"apodaca",2,96,1981,161,602,20,27,23,43
2009,"dif",19,"nuevo leon",6,"apodaca",2,97,1499,239,402,10,37,16,25
2009,"dif",19,"nuevo leon",6,"apodaca",2,98,1750,196,499,13,24,11,27
2009,"dif",19,"nuevo leon",6,"apodaca",2,99,1494,285,369,33,52,14,33
2009,"dif",19,"nuevo leon",6,"apodaca",2,100,2309,407,613,21,60,15,49
2009,"dif",19,"nuevo leon",6,"apodaca",2,101,4411,962,1068,57,135,33,155
2009,"dif",19,"nuevo leon",6,"apodaca",2,102,4959,1104,1094,46,86,33,148
2009,"dif",19,"nuevo leon",6,"apodaca",2,103,1695,263,472,10,30,15,59
2009,"dif",19,"nuevo leon",6,"apodaca",2,104,1043,238,252,12,13,5,44
2009,"dif",19,"nuevo leon",6,"apodaca",2,105,1334,279,334,17,40,9,52
2009,"dif",19,"nuevo leon",6,"apodaca",2,106,1256,285,301,14,25,6,34
2009,"dif",19,"nuevo leon",6,"apodaca",2,107,2275,425,592,22,32,4,61
2009,"dif",19,"nuevo leon",6,"apodaca",2,108,2088,589,370,19,43,12,74
2009,"dif",19,"nuevo leon",6,"apodaca",2,109,2661,748,641,12,23,9,59
2009,"dif",19,"nuevo leon",6,"apodaca",2,110,1327,499,180,11,12,5,23
2009,"dif",19,"nuevo leon",6,"apodaca",2,111,1287,225,313,7,21,4,24
2009,"dif",19,"nuevo leon",6,"apodaca",2,112,1644,317,492,8,16,6,24
2009,"dif",19,"nuevo leon",6,"apodaca",2,113,929,268,192,6,3,1,14
2009,"dif",19,"nuevo leon",6,"apodaca",2,114,1218,369,254,7,14,4,21
2009,"dif",19,"nuevo leon",6,"apodaca",2,115,1769,502,375,14,25,10,33
2009,"dif",19,"nuevo leon",6,"apodaca",2,116,2177,137,678,4,18,45,35
2009,"dif",19,"nuevo leon",6,"apodaca",2,117,1973,149,545,11,30,48,32
2009,"dif",19,"nuevo leon",6,"apodaca",2,118,1648,157,491,12,26,9,26
2009,"dif",19,"nuevo leon",6,"apodaca",2,119,1722,122,486,9,18,5,35
2009,"dif",19,"nuevo leon",6,"apodaca",2,120,2312,153,724,17,14,17,39
2009,"dif",19,"nuevo leon",6,"apodaca",2,121,2419,159,681,35,13,18,47
2009,"dif",19,"nuevo leon",6,"apodaca",2,122,2695,216,841,23,31,15,63
2009,"dif",19,"nuevo leon",6,"apodaca",2,123,2432,214,719,19,23,9,45
2009,"dif",19,"nuevo leon",6,"apodaca",2,124,3616,383,1025,29,30,19,96
2009,"dif",19,"nuevo leon",6,"apodaca",2,125,1975,151,652,25,19,7,46
2009,"dif",19,"nuevo leon",6,"apodaca",2,126,1186,94,359,8,8,2,15
2009,"dif",19,"nuevo leon",6,"apodaca",2,127,1221,91,378,11,14,3,15
2009,"dif",19,"nuevo leon",6,"apodaca",2,128,1217,102,459,7,9,10,22
2009,"dif",19,"nuevo leon",6,"apodaca",2,129,14439,2254,3532,144,248,65,486
2009,"dif",19,"nuevo leon",6,"apodaca",2,130,5162,874,1286,52,279,26,145
2009,"dif",19,"nuevo leon",6,"apodaca",2,131,4960,892,1196,46,79,23,178
2009,"dif",19,"nuevo leon",6,"apodaca",2,132,1469,357,322,9,61,7,60
2009,"dif",19,"nuevo leon",6,"apodaca",2,133,1335,266,315,11,46,14,77
2009,"dif",19,"nuevo leon",6,"apodaca",2,134,1296,185,402,10,25,11,50
2009,"dif",19,"nuevo leon",6,"apodaca",2,135,1829,274,548,12,39,13,59
2009,"dif",19,"nuevo leon",6,"apodaca",2,136,1719,171,479,10,28,10,42
2009,"dif",19,"nuevo leon",6,"apodaca",2,137,1552,131,461,11,19,18,37
2009,"dif",19,"nuevo leon",6,"apodaca",2,138,1602,180,399,5,15,14,43
2009,"dif",19,"nuevo leon",6,"apodaca",2,139,1832,301,447,18,95,12,66
2009,"dif",19,"nuevo leon",6,"apodaca",2,140,1185,162,329,8,31,24,41
2009,"dif",19,"nuevo leon",6,"apodaca",2,141,5745,829,1523,53,82,54,151
2009,"dif",19,"nuevo leon",6,"apodaca",2,142,5405,739,1433,39,115,29,149
2009,"dif",19,"nuevo leon",6,"apodaca",2,143,1691,176,515,13,26,7,26
2009,"dif",19,"nuevo leon",6,"apodaca",2,144,4977,741,1275,44,64,34,126
2009,"dif",19,"nuevo leon",6,"apodaca",2,145,3527,446,981,40,55,15,109
2009,"dif",19,"nuevo leon",6,"apodaca",2,146,2530,282,680,19,33,10,60
2009,"dif",19,"nuevo leon",6,"apodaca",2,147,1230,177,409,11,18,13,34
2009,"dif",19,"nuevo leon",6,"apodaca",2,148,2952,423,798,23,46,18,95
2009,"dif",19,"nuevo leon",6,"apodaca",2,149,17772,2350,4798,189,330,161,537
2009,"dif",19,"nuevo leon",6,"apodaca",2,150,NA,323,285,9,19,9,24
2009,"dif",19,"nuevo leon",7,"aramberri",9,151,1197,374,514,3,24,3,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,152,1336,446,545,2,34,2,7
2009,"dif",19,"nuevo leon",7,"aramberri",9,153,437,173,146,0,1,1,3
2009,"dif",19,"nuevo leon",7,"aramberri",9,154,294,98,130,0,3,0,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,155,479,158,209,0,3,1,6
2009,"dif",19,"nuevo leon",7,"aramberri",9,156,716,258,265,2,24,1,5
2009,"dif",19,"nuevo leon",7,"aramberri",9,157,570,169,245,4,25,1,0
2009,"dif",19,"nuevo leon",7,"aramberri",9,158,744,238,316,7,17,1,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,159,196,66,87,1,5,1,0
2009,"dif",19,"nuevo leon",7,"aramberri",9,160,599,214,274,5,3,3,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,161,925,334,369,9,2,3,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,162,735,236,303,9,3,0,0
2009,"dif",19,"nuevo leon",7,"aramberri",9,163,441,121,240,0,1,1,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,164,407,78,242,0,1,2,1
2009,"dif",19,"nuevo leon",7,"aramberri",9,165,727,258,288,2,6,2,3
2009,"dif",19,"nuevo leon",7,"aramberri",9,166,469,140,225,3,8,0,2
2009,"dif",19,"nuevo leon",7,"aramberri",9,167,357,105,171,10,0,0,1
2009,"dif",19,"nuevo leon",8,"bustamante",12,168,670,233,234,0,51,20,2
2009,"dif",19,"nuevo leon",8,"bustamante",12,169,734,256,243,0,58,10,3
2009,"dif",19,"nuevo leon",8,"bustamante",12,170,662,216,227,0,33,13,4
2009,"dif",19,"nuevo leon",8,"bustamante",12,171,897,304,337,0,64,19,7
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,172,NA,377,351,6,44,5,18
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,173,1342,270,300,21,40,7,17
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,174,2991,467,726,17,105,14,37
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,175,1947,307,457,22,77,13,19
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,176,2071,340,448,25,121,9,37
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,177,1603,325,357,14,48,6,34
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,178,1381,240,315,11,37,10,17
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,179,1613,248,377,7,71,7,16
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,180,1459,226,317,7,39,4,20
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,181,1694,255,351,17,55,4,18
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,182,2003,351,455,16,74,15,30
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,183,4768,884,1097,38,172,26,89
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,184,1619,300,458,13,69,9,34
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,185,1029,232,273,6,32,11,15
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,186,1338,304,302,10,51,13,11
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,187,1644,339,504,16,59,5,46
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,188,1430,239,427,19,41,10,33
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,189,2175,364,521,11,80,16,39
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,190,1710,364,539,33,100,18,55
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,191,7559,1321,2098,95,228,38,179
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,192,646,87,193,5,6,3,13
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,193,983,94,275,6,39,1,21
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,194,966,131,242,6,59,4,16
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,195,216,19,83,1,2,2,4
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,196,962,162,242,9,31,8,18
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,197,813,113,225,1,50,4,6
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,198,509,94,122,2,20,1,6
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,199,679,89,208,2,12,3,5
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,200,980,157,257,7,29,8,10
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,201,963,234,201,5,17,3,7
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,202,356,92,102,0,3,1,2
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,203,598,91,181,1,5,20,7
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,204,486,54,157,0,4,0,2
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,205,843,78,264,3,21,5,4
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,206,489,62,138,6,30,6,3
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,207,309,48,73,0,3,1,0
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,208,185,31,54,0,5,0,1
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,209,404,55,92,2,9,4,6
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,210,919,123,319,17,20,12,10
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,211,424,50,160,4,5,2,0
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,212,792,174,240,5,18,23,16
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,213,514,58,121,4,10,13,3
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,214,497,81,98,2,11,37,5
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,215,201,30,38,1,5,19,0
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,216,430,93,105,0,6,9,5
2009,"dif",19,"nuevo leon",9,"cadereyta jimenez",12,217,1049,292,222,4,8,8,8
2009,"dif",19,"nuevo leon",10,"carmen",12,218,1535,276,438,8,187,97,30
2009,"dif",19,"nuevo leon",10,"carmen",12,219,2398,434,611,31,264,223,48
2009,"dif",19,"nuevo leon",10,"carmen",12,220,1819,276,488,35,258,152,33
2009,"dif",19,"nuevo leon",11,"cerralvo",12,221,1157,253,369,2,13,12,2
2009,"dif",19,"nuevo leon",11,"cerralvo",12,222,1121,266,392,3,65,4,7
2009,"dif",19,"nuevo leon",11,"cerralvo",12,223,1117,197,353,1,27,2,8
2009,"dif",19,"nuevo leon",11,"cerralvo",12,224,961,219,285,1,19,2,5
2009,"dif",19,"nuevo leon",11,"cerralvo",12,225,1075,286,301,1,18,2,3
2009,"dif",19,"nuevo leon",11,"cerralvo",12,226,1141,268,360,1,32,9,10
2009,"dif",19,"nuevo leon",11,"cerralvo",12,227,93,41,28,0,1,0,1
2009,"dif",19,"nuevo leon",11,"cerralvo",12,228,184,42,39,0,3,1,0
2009,"dif",19,"nuevo leon",11,"cerralvo",12,230,168,33,45,0,2,0,0
2009,"dif",19,"nuevo leon",11,"cerralvo",12,231,119,30,22,0,0,0,0
2009,"dif",19,"nuevo leon",12,"cienega de flores",12,232,5925,920,1183,52,111,138,135
2009,"dif",19,"nuevo leon",12,"cienega de flores",12,233,2023,432,413,24,62,57,50
