"PAN","PRI","PRD","PNA","PT","PVEM","SECCION","INDICE_PAN_PRI","INDICE_VOLATILIDAD"
20.3612967087355,34.1004701806484,26.6864637465974,9.51249690670626,6.59737688690918,2.74189557040337,1,43.4341727875452,98.2755965206475
40.5386081982841,42.262472195742,8.47632666031141,0.945344772799492,5.02065459167461,2.75659358118843,2,50.807773985887,99.973900047509
35.5045724370287,40.4460131557837,2.91994224290069,1.28349109578052,15.3056313171827,4.5403497513236,3,46.9402179016,99.6255093404124
37.5548245614035,42.8453947368421,2.12445175438596,1.41173245614035,10.5126096491228,5.55098684210526,4,46.9390617588247,99.6252262833484
34.6065699006876,43.4300993124523,0.254647313470843,0.865800865800866,12.8596893302776,7.98319327731092,5,43.8699177689121,98.496883673604
22.4151857835218,47.0113085621971,0.444264943457189,0,13.9741518578352,16.1550888529887,6,31.8516336392794,86.8254719374827
23.5770528683914,56.6029246344207,1.214848143982,0.674915635545557,11.0911136107986,6.83914510686164,7,26.0990278323702,77.1497411776874
40.4647983595352,33.6750968329916,0.296195033037138,1.13921166552746,12.0528594212805,12.3718386876282,8,55.4579714508437,98.808421905671
30.7813733228098,45.8760852407261,3.84767166535122,0.907655880031571,9.94475138121547,8.64246250986582,9,39.7930833350351,95.8327540877785
37.9062736205593,49.0929705215419,0,1.62509448223734,6.3114134542706,5.06424792139078,10,42.6470402632707,97.8373593244015
29.937106918239,61.7969451931716,0.682839173405211,0.682839173405211,0.395327942497754,6.50494159928122,11,27.7589046677617,80.2133471368916
31.562099871959,63.0441741357234,1.12035851472471,0.43213828425096,0.0640204865556978,3.77720870678617,12,28.193755026159,80.9795072056334
62.5080523942452,31.050032209577,2.38350869658578,0.0214730513205927,0.300622718488297,3.73631092978312,13,75.2665799551837,74.4639974947324
37.1135873472322,54.7268152408339,2.19266714593817,0.736879942487419,0.736879942487419,4.49317038102085,15,38.5723567393171,94.7763587802627
47.585886722377,44.0575673166202,0.719591457753018,0.510677808727948,0.0232126276694522,7.10306406685237,16,54.1740220168541,99.3031016081127
34.136303392471,50.1057967307648,7.29648661845746,2.29497523658939,4.23419443346432,1.93224358825307,17,40.0968592662132,96.0771121442725
33.0052346651157,46.4721936378685,9.95928593798935,2.97973245044964,5.58811686278019,1.99543644579661,20,42.1231126924083,97.5181858537401
33.7110128867584,46.778310402789,10.2347008653427,3.2372533150719,4.73759571686484,1.30112681317313,21,42.5281111570728,97.7668350847576
32.8310533990695,50.3020623567808,8.83271995000347,2.11096451635303,4.37469620165266,1.54850357614055,22,39.1486074050006,95.2898911499677
37.5712457834128,46.5511224845877,8.07258345934628,3.91997208328487,2.29149703384902,1.59357915551937,23,45.5048335111705,99.1917391295082
39.4887815961375,44.2771939789832,8.7588753195115,2.72649815393354,3.12411246804885,1.6245384833854,24,48.6762349777671,99.9299058466365
33.1062231759657,47.843347639485,12.2424892703863,2.58047210300429,3.32618025751073,0.901287553648069,25,41.642442633422,97.2060493945743
35.4241954913096,47.3756668387541,10.0843228360007,1.80691791430046,3.81173636207193,1.49716055756324,26,43.4559124670927,98.2869967344659
31.6083412151511,51.799306400036,8.36373463045534,2.37355312345179,4.23816601360176,1.61689861730397,27,37.0699180562489,93.3125192371153
34.042677238806,47.1315298507463,8.7978078358209,2.64692164179105,5.38712686567164,1.99393656716418,28,42.3051658488295,97.6315810954392
31.4907362262311,51.5602145294978,7.45977571916139,2.68771331058021,5.24744027303754,1.55411994149196,29,36.9750653347348,93.214043078623
36.7953386744355,47.4872541879097,8.24471959213401,2.85506190823015,3.19009468317553,1.42753095411508,30,44.2136263314518,98.6607151907173
41.5707786994916,46.5881723307466,5.68637944875569,1.55204709660155,3.23789135670324,1.36473106770136,31,48.2063104478924,99.8713071116264
37.8305450620615,47.6614499010613,5.65749235474006,1.96078431372549,5.44162619176111,1.44810217665048,32,44.4254247082223,98.7569644126521
29.4020909197698,52.7428638552802,7.40044637613062,1.60930341830142,5.42699400916246,3.41830142135557,33,34.499238736208,90.389056009717
40.7608695652174,44.9168797953964,5.21099744245524,1.82225063938619,5.30690537084399,1.98209718670077,34,48.6100794286067,99.9227248322087
24.4026284348865,62.4551971326165,3.67383512544803,2.00119474313023,4.00238948626045,3.4647550776583,35,23.2210916489183,71.3156027009746
36.8855163312438,44.2428241504454,8.95743978884857,2.4414384691521,5.97162652589904,1.50115473441109,36,46.570541299011,99.5295525207284
30.2219321148825,44.8596605744125,8.87728459530026,3.9490861618799,9.75848563968668,2.33355091383812,37,40.7661598527018,96.5894478453658
38.5105187589737,43.5732567576003,4.57581621824084,3.82670578687808,8.86447343779262,0.649229040514389,38,47.5584866542961,99.76156050331
33.8701775872627,44.6540110226577,6.46662584200857,5.02143294549908,9.03245560318432,0.95529699938763,39,43.4386236247593,98.2779336024973
36.0877350044763,45.1029543419875,4.89704565801253,1.92479856759176,11.3249776186213,0.662488809310654,40,44.5112543897754,98.7949468650496
34.9428101126915,45.4058160638163,5.00991854134132,2.24538893344026,11.5434938589457,0.852572489764909,41,43.4116385700568,98.2637397467375
37.5320154987851,41.9320943061667,6.42280160241676,2.71228738425166,10.6127273921324,0.788073816247455,42,48.1469680172277,99.8626508988329
35.5392579810181,45.7204486626402,6.05694564279551,1.91544434857636,10.1035375323555,0.664365832614323,43,43.8637051792452,98.4938354349111
31.8548788996312,49.735871623642,7.72450911990432,2.79079039170737,6.94707465364298,0.946875311472142,44,38.5153588482637,94.7241207046338
29.3280871670702,46.4891041162228,9.01937046004843,4.20702179176755,9.97780468119451,0.978611783696529,45,38.910177748888,95.0806336975496
