"ANO","ELECCION","CODIGO_ESTADO","ESTADO","SECCION","CC1_GOB17","CC2_GOB17","CC3_GOB17","PAN","PNA","PRD","PRI","PSI","PT","PUDC","PVEM"
"2017","gob",5,"coahuila",90,37,2,0,94,2,30,140,0,4,2,3
"2017","gob",5,"coahuila",90,40,2,0,106,0,40,141,3,4,3,2
"2017","gob",5,"coahuila",91,60,0,0,95,1,44,148,1,3,0,6
"2017","gob",5,"coahuila",91,33,0,0,87,1,56,156,2,5,0,3
"2017","gob",5,"coahuila",92,40,0,0,60,0,23,123,0,2,1,3
"2017","gob",5,"coahuila",92,40,2,0,74,0,28,84,1,5,0,2
"2017","gob",5,"coahuila",93,49,1,0,101,8,40,201,1,5,2,3
"2017","gob",5,"coahuila",94,34,2,0,134,5,39,137,0,5,5,4
"2017","gob",5,"coahuila",94,28,1,0,112,9,40,165,0,6,1,5
"2017","gob",5,"coahuila",96,24,1,0,78,3,27,122,0,4,2,3
"2017","gob",5,"coahuila",96,24,0,0,84,2,26,113,0,6,2,4
"2017","gob",5,"coahuila",96,31,0,0,91,0,35,133,0,5,5,3
"2017","gob",5,"coahuila",97,9,0,0,78,1,57,114,0,3,0,1
"2017","gob",5,"coahuila",98,6,0,0,65,0,9,42,0,4,0,0
"2017","gob",5,"coahuila",102,12,0,0,6,0,7,68,1,0,0,1
"2017","gob",5,"coahuila",104,3,0,0,8,2,3,99,0,1,0,1
"2017","gob",5,"coahuila",105,6,0,0,5,0,4,64,0,1,0,1
"2017","gob",5,"coahuila",106,6,0,0,5,0,6,60,0,0,0,5
"2017","gob",5,"coahuila",108,30,0,0,17,1,8,122,0,0,0,1
"2017","gob",5,"coahuila",109,5,0,0,12,0,3,42,0,0,0,0
"2017","gob",5,"coahuila",110,39,1,0,131,0,11,99,0,0,0,0
"2017","gob",5,"coahuila",110,51,1,0,97,3,12,113,0,2,1,0
"2017","gob",5,"coahuila",111,50,0,0,128,0,8,80,0,1,3,0
"2017","gob",5,"coahuila",111,47,1,0,114,3,5,99,0,2,3,0
"2017","gob",5,"coahuila",112,96,1,0,145,2,11,177,0,3,6,2
"2017","gob",5,"coahuila",113,70,1,0,116,3,13,183,1,7,3,2
"2017","gob",5,"coahuila",113,80,0,0,106,1,13,189,1,5,3,2
"2017","gob",5,"coahuila",114,55,0,0,76,0,9,116,0,3,1,0
"2017","gob",5,"coahuila",114,48,0,0,99,0,7,92,0,3,2,0
"2017","gob",5,"coahuila",115,49,4,0,87,5,8,93,1,4,0,1
"2017","gob",5,"coahuila",115,46,1,0,95,5,5,82,1,1,1,0
"2017","gob",5,"coahuila",116,52,0,0,132,0,15,152,0,9,3,1
"2017","gob",5,"coahuila",116,54,0,0,147,0,19,131,0,3,2,1
"2017","gob",5,"coahuila",116,26,0,0,147,1,13,144,1,9,3,2
"2017","gob",5,"coahuila",116,51,0,0,129,3,9,153,0,10,0,0
"2017","gob",5,"coahuila",119,3,0,0,34,0,1,34,0,2,0,0
"2017","gob",5,"coahuila",121,0,0,0,41,0,1,49,0,0,0,0
"2017","gob",5,"coahuila",122,2,0,0,66,0,7,83,0,3,0,0
"2017","gob",5,"coahuila",123,47,0,0,115,0,41,97,1,8,4,2
"2017","gob",5,"coahuila",124,34,3,0,8,0,2,87,1,1,0,0
"2017","gob",5,"coahuila",125,8,0,0,11,1,8,54,0,4,1,0
"2017","gob",5,"coahuila",126,19,0,0,51,1,0,31,0,0,1,0
"2017","gob",5,"coahuila",126,6,0,0,19,0,43,120,0,3,0,4
"2017","gob",5,"coahuila",127,4,0,0,37,0,37,81,1,0,1,0
"2017","gob",5,"coahuila",128,8,0,0,32,1,26,72,0,3,0,1
"2017","gob",5,"coahuila",129,4,1,0,23,1,22,87,1,2,0,1
"2017","gob",5,"coahuila",130,26,0,0,79,1,45,189,0,3,1,2
"2017","gob",5,"coahuila",130,17,0,0,89,0,56,180,0,4,0,0
"2017","gob",5,"coahuila",130,15,0,0,57,1,57,206,0,3,0,0
"2017","gob",5,"coahuila",131,21,0,0,105,8,21,257,3,2,7,44
"2017","gob",5,"coahuila",131,13,0,0,109,6,11,254,8,3,4,46
"2017","gob",5,"coahuila",131,14,0,0,116,1,3,276,5,7,4,57
"2017","gob",5,"coahuila",132,37,0,0,109,1,9,165,1,1,7,44
"2017","gob",5,"coahuila",132,31,0,0,108,0,8,164,3,4,3,46
"2017","gob",5,"coahuila",132,35,0,0,95,4,6,192,0,3,4,63
"2017","gob",5,"coahuila",133,52,0,0,67,3,4,118,1,3,2,5
"2017","gob",5,"coahuila",133,43,1,0,73,2,1,104,0,2,3,2
"2017","gob",5,"coahuila",134,46,0,0,109,3,5,161,5,2,7,4
"2017","gob",5,"coahuila",134,60,0,0,110,4,5,163,1,3,10,8
"2017","gob",5,"coahuila",134,53,0,0,102,5,3,168,2,4,12,8
"2017","gob",5,"coahuila",134,51,1,0,131,3,5,161,1,1,14,11
"2017","gob",5,"coahuila",135,94,0,0,185,4,5,184,1,6,15,6
"2017","gob",5,"coahuila",135,93,2,0,174,10,4,199,4,5,11,7
"2017","gob",5,"coahuila",136,70,0,0,123,3,1,127,0,0,11,4
"2017","gob",5,"coahuila",136,44,1,0,121,0,3,145,0,3,4,2
"2017","gob",5,"coahuila",137,61,2,0,122,3,7,163,0,5,17,7
"2017","gob",5,"coahuila",137,56,0,0,112,2,12,165,0,7,14,4
"2017","gob",5,"coahuila",138,97,1,0,164,3,3,175,0,5,9,4
"2017","gob",5,"coahuila",138,96,4,0,159,7,5,137,2,5,13,7
"2017","gob",5,"coahuila",139,40,0,0,96,1,2,140,0,1,7,0
"2017","gob",5,"coahuila",139,45,1,0,103,4,4,125,0,2,7,5
"2017","gob",5,"coahuila",140,73,1,0,147,3,2,105,1,5,15,3
"2017","gob",5,"coahuila",140,28,0,0,82,2,1,50,0,1,4,3
"2017","gob",5,"coahuila",141,38,0,0,100,1,3,115,0,5,5,3
"2017","gob",5,"coahuila",141,45,1,0,106,3,2,102,0,2,4,2
"2017","gob",5,"coahuila",142,63,2,0,111,3,3,81,0,2,19,1
"2017","gob",5,"coahuila",142,73,0,0,119,5,1,84,0,0,9,1
"2017","gob",5,"coahuila",143,59,2,0,146,3,2,108,0,5,21,1
"2017","gob",5,"coahuila",143,76,1,0,123,10,3,117,0,4,14,0
"2017","gob",5,"coahuila",143,61,0,0,112,8,2,122,0,0,13,2
"2017","gob",5,"coahuila",144,61,0,0,182,3,2,164,1,3,15,8
"2017","gob",5,"coahuila",144,61,5,0,192,12,0,178,0,3,21,3
"2017","gob",5,"coahuila",145,45,0,0,132,1,4,59,2,2,20,11
"2017","gob",5,"coahuila",145,60,3,0,130,2,2,157,1,4,28,15
"2017","gob",5,"coahuila",146,25,0,0,165,3,6,134,1,2,20,7
"2017","gob",5,"coahuila",146,36,0,0,140,3,5,131,2,3,16,4
"2017","gob",5,"coahuila",146,28,0,0,133,13,3,168,4,6,9,9
"2017","gob",5,"coahuila",147,39,0,0,139,5,4,143,0,2,13,6
"2017","gob",5,"coahuila",147,48,0,0,128,6,4,140,1,3,8,4
"2017","gob",5,"coahuila",147,60,1,0,109,6,4,170,0,1,9,3
"2017","gob",5,"coahuila",147,42,1,0,126,7,8,146,0,6,13,7
"2017","gob",5,"coahuila",148,32,0,0,109,4,5,136,0,5,15,19
"2017","gob",5,"coahuila",148,34,1,0,110,5,5,139,1,3,10,6
"2017","gob",5,"coahuila",148,37,1,0,123,3,2,140,2,0,12,12
"2017","gob",5,"coahuila",149,11,0,0,29,2,1,96,1,0,0,1
"2017","gob",5,"coahuila",150,22,1,0,82,0,3,150,3,4,5,1
"2017","gob",5,"coahuila",151,5,0,0,42,1,0,42,1,1,2,0
"2017","gob",5,"coahuila",152,27,0,0,149,2,4,246,1,1,10,27
"2017","gob",5,"coahuila",153,32,0,0,125,4,6,170,1,8,5,6
"2017","gob",5,"coahuila",154,121,1,0,84,1,6,220,5,4,16,1
"2017","gob",5,"coahuila",155,5,2,0,29,6,7,202,1,4,2,0
"2017","gob",5,"coahuila",156,33,1,0,112,1,6,207,1,2,8,35
"2017","gob",5,"coahuila",157,40,1,0,53,0,7,168,4,0,8,19
"2017","gob",5,"coahuila",157,35,0,0,61,2,6,177,3,1,4,14
"2017","gob",5,"coahuila",158,20,0,0,82,4,2,235,2,2,9,25
"2017","gob",5,"coahuila",159,39,0,0,95,3,3,176,1,1,17,2
"2017","gob",5,"coahuila",159,31,0,0,79,1,9,199,1,1,13,11
"2017","gob",5,"coahuila",160,24,0,0,85,1,3,203,5,0,6,12
"2017","gob",5,"coahuila",161,33,0,0,174,2,9,248,7,5,33,6
"2017","gob",5,"coahuila",162,60,3,0,100,6,2,277,4,9,8,6
"2017","gob",5,"coahuila",162,42,0,0,109,8,3,283,3,5,3,2
"2017","gob",5,"coahuila",163,27,0,0,120,4,23,204,3,5,1,20
"2017","gob",5,"coahuila",164,0,0,0,101,3,3,219,11,4,5,3
"2017","gob",5,"coahuila",165,21,0,0,120,3,26,210,2,4,8,11
"2017","gob",5,"coahuila",166,96,1,0,99,4,22,231,3,4,8,11
"2017","gob",5,"coahuila",167,25,1,0,91,1,5,89,1,1,4,1
"2017","gob",5,"coahuila",168,43,1,0,137,6,3,185,1,4,6,20
"2017","gob",5,"coahuila",168,22,3,0,114,13,12,229,0,8,8,31
"2017","gob",5,"coahuila",169,24,0,0,127,4,4,135,0,3,6,8
"2017","gob",5,"coahuila",169,21,0,0,95,4,13,161,1,5,9,7
