SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
498,CPRI,5,20,20,786,49.36386768,50.63613232,2.57,86.76844784,96.84361549,0.286944046,5.852417303,3.333333333,25.4,31.67938931,14.50381679,64.08094435,212,22.64150943,370.754717,61.79245283
499,CPRI,5,20,20,1245,50.20080321,49.79919679,2.81,88.6746988,96.50537634,1.523297491,7.871485944,4.750869061,13.68821293,29.15662651,13.41365462,60.88794926,336,22.61904762,370.5357143,52.67857143
500,CPRI,5,21,21,1087,48.48206072,51.51793928,2.41,95.95216191,97.59519038,1.402805611,8.555657774,3.29531052,35.29411765,36.61453542,20.51517939,62.38095238,300,17.33333333,362.3333333,63
501,CPRI,5,21,21,1143,49.25634296,50.74365704,2.32,96.23797025,98.75,0.384615385,9.098862642,2.676399027,33.60107095,33.94575678,15.4855643,58.10055866,319,15.98746082,358.30721,58.93416928
502,CPRI,5,21,21,1261,49.24662966,50.75337034,2.41,95.32117367,97.14038128,1.64644714,9.278350515,1.27388535,37.62945915,38.1443299,18.16019033,59.06838454,349,16.33237822,361.3180516,55.01432665
503,CPAN,5,21,21,1098,50.09107468,49.90892532,2.42,94.80874317,98.89001009,0.100908174,10.6557377,5.660377358,24.04371585,37.34061931,36.06557377,61.87648456,297,12.79461279,368.6868687,58.92255892
504,CPRI,5,21,21,344,52.03488372,47.96511628,3.02,97.96511628,98.40764331,0.955414013,12.20930233,3.0651341,8.860759494,38.95348837,22.96511628,69.67509025,105,6.666666667,327.6190476,73.33333333
505,CPRI,5,21,21,837,54.00238949,45.99761051,2.59,95.81839904,97.89750329,0.919842313,11.35005974,6.339144216,16.81260946,39.66547192,27.24014337,58.97058824,237,15.61181435,353.164557,60.75949367
506,CPRI,5,21,21,148,50,50,2.82,92.56756757,99.23664122,0,7.432432432,5.825242718,27.08333333,32.43243243,29.72972973,62.96296296,45,13.33333333,328.8888889,66.66666667
507,CPRI,5,21,21,183,54.09836066,45.90163934,2.33,97.81420765,98.22485207,1.775147929,10.92896175,7.299270073,13.6,39.3442623,2.18579235,68.49315068,56,3.571428571,326.7857143,58.92857143
508,CPAN,5,22,22,2666,51.27531883,48.72468117,2.61,81.20780195,94.60721868,2.590233546,4.876219055,3.346797461,19.83418367,33.04576144,15.00375094,61.16002071,632,15.50632911,411.8670886,71.36075949
509,CPAN,5,22,22,1124,50.71174377,49.28825623,2.32,89.14590747,98.15533981,1.165048544,3.113879004,1.041666667,33.33333333,30.96085409,8.362989324,59.93031359,257,10.50583658,431.5175097,80.93385214
510,CPAN,5,22,22,1776,49.49324324,50.50675676,2.22,87.89414414,97.62796504,1.373283396,2.702702703,1.357827476,33.66336634,34.06531532,8.38963964,59.37272064,420,9.523809524,417.8571429,79.04761905
511,CPAN,5,22,22,3162,51.48640101,48.51359899,2.25,83.61796331,96.64783427,1.506591337,3.004427577,1.787538304,31.25701459,32.44781784,12.01771031,65.22346369,789,11.66032953,390.4942966,75.2851711
