ANO,ELECCION,CODIGO_ESTADO,NOMBRE_ESTADO,NOMBRE_MUNICIPIO,DISTRITO_LOCAL_INE_2016,SECCION,NOMINAL,CNR,MORENA,NULOS,PAN,PNA,PRD,PRI,PRS,PSD,PT,PUP,PVEM
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,52,844,0,53,10,,6,148,,0,0,7,2,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,53,862,0,11,45,,34,217,,1,1,2,3,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,54,906,0,60,17,,13,185,,3,2,9,2,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,55,214,0,15,1,,6,53,,0,1,2,0,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,56,847,0,48,17,,9,159,,1,0,1,1,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,57,,2,785,79,,7,234,,20,175,488,100,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,58,2692,0,459,66,,11,172,,21,130,393,47,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,59,2105,0,310,38,,6,141,,5,142,249,29,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,60,,2,455,48,,12,220,,7,123,312,65,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,61,770,0,45,30,,4,90,,2,31,163,4,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,62,505,0,55,17,,0,91,,1,64,104,8,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,63,486,0,50,16,,4,47,,7,21,73,16,
2016,gob,20,oaxaca,ASUNCION NOCHIXTLAN,,64,448,0,35,26,,3,34,,2,22,59,3,
2016,gob,20,oaxaca,ASUNCIÓN OCOTLÁN,16,65,1102,0,40,28,,189,26,,2,3,9,5,
2016,gob,20,oaxaca,ASUNCIÓN OCOTLÁN,16,66,878,0,25,26,,168,47,,2,6,7,4,
2016,gob,20,oaxaca,ASUNCIÓN OCOTLÁN,16,67,646,0,35,15,,98,37,,0,2,12,2,
2016,gob,20,oaxaca,ASUNCION TLACOLULITA,18,68,428,0,56,1,,1,11,,5,2,71,0,
2016,gob,20,oaxaca,ASUNCION TLACOLULITA,18,69,203,0,14,13,,1,49,,1,0,10,1,
2016,gob,20,oaxaca,AYOQUEZCO DE ALDAMA,16,70,1585,0,130,36,,9,70,,3,6,46,45,
2016,gob,20,oaxaca,AYOQUEZCO DE ALDAMA,16,71,959,0,99,16,,5,20,,3,5,38,17,
2016,gob,20,oaxaca,AYOQUEZCO DE ALDAMA,16,72,1138,0,99,17,,8,30,,3,7,55,26,
2016,gob,20,oaxaca,AYOQUEZCO DE ALDAMA,16,73,280,0,11,5,,2,11,,0,2,12,1,
2016,gob,20,oaxaca,LOMA BONITA ,3,74,1546,0,206,33,,2,375,,0,8,93,9,
2016,gob,20,oaxaca,LOMA BONITA ,3,75,2199,0,362,68,,3,483,,4,6,144,18,
2016,gob,20,oaxaca,LOMA BONITA ,3,76,1042,0,37,8,,1,167,,1,1,14,26,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,77,2002,0,170,23,,5,80,,13,4,28,6,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,78,957,0,57,19,,5,48,,164,2,16,5,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,79,1680,0,221,37,,10,84,,17,18,24,12,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,80,1117,0,91,27,,5,69,,26,6,19,9,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,81,133,0,3,4,,3,6,,1,4,13,1,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,82,959,0,64,30,,7,52,,32,14,34,4,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,83,605,0,78,18,,3,21,,23,3,24,1,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,84,1129,0,66,25,,8,118,,74,26,41,5,
2016,gob,20,oaxaca,EL BARRIO DE LA SOLEDAD,11,85,412,0,38,9,,1,34,,3,2,5,1,
