Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Votos Anulados
12,BASICA,Diputados Locales,Los Aldamas,22,Acta contabilizada,417,308,82,171,0,0,55,0,0,0,0,0,0,0,0,0
13,BASICA,Diputados Locales,Los Aldamas,22,Acta contabilizada,531,365,94,220,3,1,36,4,2,0,1,0,1,0,0,3
15,BASICA,Diputados Locales,Los Aldamas,22,Acta contabilizada,387,278,168,77,1,0,25,2,0,0,0,2,1,0,0,2
16,BASICA,Diputados Locales,Los Aldamas,22,Acta contabilizada,501,292,91,140,1,1,41,1,2,0,0,2,0,0,0,13
17,BASICA,Diputados Locales,Los Aldamas,22,Acta contabilizada,378,258,113,89,0,0,47,0,4,0,0,2,1,0,0,2
20,BASICA,Diputados Locales,Allende,24,Acta contabilizada,647,393,185,157,0,2,6,17,4,0,1,4,3,3,0,11
20,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,646,386,175,154,1,2,4,14,6,3,0,7,3,1,0,16
20,CONTIGUA 2,Diputados Locales,Allende,24,Acta contabilizada,646,371,161,160,0,3,9,19,5,0,0,4,1,0,0,9
20,CONTIGUA 3,Diputados Locales,Allende,24,Acta contabilizada,646,382,192,151,2,4,4,12,1,0,0,8,0,0,0,8
20,CONTIGUA 4,Diputados Locales,Allende,24,Acta contabilizada,646,358,170,144,0,5,5,16,3,0,1,2,0,0,0,12
20,CONTIGUA 5,Diputados Locales,Allende,24,Acta contabilizada,646,377,158,172,2,3,7,17,2,0,2,5,1,0,0,8
20,CONTIGUA 6,Diputados Locales,Allende,24,Acta contabilizada,646,364,147,173,0,3,8,15,4,0,1,3,3,1,0,6
21,BASICA,Diputados Locales,Allende,24,Acta contabilizada,584,334,155,130,1,4,4,11,2,0,2,10,5,1,0,9
21,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,584,327,142,127,0,3,6,19,7,0,0,13,0,1,0,9
21,CONTIGUA 2,Diputados Locales,Allende,24,Acta contabilizada,584,284,133,117,0,1,3,14,5,0,0,8,1,0,0,2
21,CONTIGUA 3,Diputados Locales,Allende,24,Acta contabilizada,583,340,147,131,0,3,8,15,3,0,1,12,2,1,0,17
22,BASICA,Diputados Locales,Allende,24,Acta contabilizada,744,417,171,185,1,8,4,19,5,0,5,6,1,3,0,9
22,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,743,427,215,159,2,5,5,12,5,0,5,8,5,1,0,5
23,BASICA,Diputados Locales,Allende,24,Acta contabilizada,662,400,199,156,1,1,5,14,1,2,0,8,0,1,0,12
23,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,661,416,170,196,3,4,5,20,1,0,1,0,0,2,0,14
24,BASICA,Diputados Locales,Allende,24,Acta contabilizada,719,475,231,174,2,1,4,41,8,1,2,1,3,1,0,6
25,BASICA,Diputados Locales,Allende,24,Acta contabilizada,717,471,210,204,1,4,6,36,1,0,1,1,1,0,0,6
25,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,717,504,249,197,1,3,4,26,2,0,2,3,1,1,0,15
26,BASICA,Diputados Locales,Allende,24,Acta contabilizada,735,536,266,218,1,3,5,21,3,0,2,2,0,0,0,15
26,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,735,518,227,237,0,0,3,24,6,0,6,9,1,0,0,5
27,BASICA,Diputados Locales,Allende,24,Acta contabilizada,452,289,128,123,0,1,4,25,3,0,0,1,1,0,0,3
27,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,452,303,133,140,0,0,3,14,0,0,0,5,2,1,0,5
28,BASICA,Diputados Locales,Allende,24,Acta contabilizada,691,393,169,178,0,3,7,10,3,0,6,8,1,3,0,5
28,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,691,387,173,174,0,2,4,14,4,0,5,5,1,1,0,4
28,CONTIGUA 2,Diputados Locales,Allende,24,Acta contabilizada,691,414,159,208,3,3,0,22,3,0,2,8,1,0,0,5
29,BASICA,Diputados Locales,Allende,24,Acta contabilizada,601,341,131,128,1,7,5,32,1,1,8,10,3,1,0,13
29,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,601,343,147,148,0,4,4,13,5,1,7,5,2,0,0,7
29,CONTIGUA 2,Diputados Locales,Allende,24,Acta contabilizada,600,319,122,147,1,3,4,8,4,2,11,3,1,3,0,10
30,BASICA,Diputados Locales,Allende,24,Acta contabilizada,527,284,120,123,1,1,6,8,2,0,7,5,1,1,0,9
30,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,526,293,130,109,1,4,3,16,2,0,5,2,1,2,0,18
30,CONTIGUA 2,Diputados Locales,Allende,24,Acta contabilizada,526,307,128,129,0,5,2,10,6,0,5,6,3,0,0,13
31,BASICA,Diputados Locales,Allende,24,Acta contabilizada,662,364,163,148,2,0,2,20,5,1,7,2,0,2,0,12
32,BASICA,Diputados Locales,Allende,24,Acta contabilizada,451,223,116,84,0,3,3,7,1,0,0,4,0,0,0,5
32,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,450,220,107,93,3,0,2,5,0,0,0,1,3,0,0,6
33,BASICA,Diputados Locales,Allende,24,Acta contabilizada,559,298,144,112,1,7,4,16,0,0,1,2,2,0,0,9
33,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,558,305,153,112,1,7,5,7,5,1,1,2,0,1,0,10
34,BASICA,Diputados Locales,Allende,24,Acta contabilizada,381,215,71,107,1,3,10,5,5,0,0,4,2,0,0,7
34,CONTIGUA 1,Diputados Locales,Allende,24,Acta contabilizada,381,248,108,93,2,1,6,10,3,1,2,2,1,3,0,16
35,BASICA,Diputados Locales,Allende,24,Acta contabilizada,290,173,80,58,2,4,5,9,0,0,2,6,2,0,0,5
36,BASICA,Diputados Locales,Allende,24,Acta contabilizada,299,171,51,104,0,1,5,3,2,0,0,3,1,0,0,1
37,BASICA,Diputados Locales,Allende,24,Acta contabilizada,603,359,159,138,1,8,4,15,8,1,0,4,5,2,0,14
38,BASICA,Diputados Locales,Allende,24,Acta contabilizada,595,326,137,121,0,12,7,27,0,0,1,4,2,1,0,14
39,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,750,514,246,165,4,3,2,0,13,0,2,6,51,0,5,17
39,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,610,407,221,108,4,8,2,0,5,0,1,3,41,0,4,10
40,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,691,472,223,130,3,14,7,0,6,0,0,2,72,0,3,12
40,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,690,462,217,147,9,2,3,0,7,0,1,3,63,0,2,8
41,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,435,328,156,91,0,10,0,0,2,1,1,5,55,0,0,7
41,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,681,458,231,96,5,26,2,0,3,0,0,4,75,0,4,12
42,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,681,482,254,96,7,21,1,0,1,1,0,6,86,0,2,7
42,CONTIGUA 2,Diputados Locales,Anáhuac,21,Acta contabilizada,681,485,226,122,12,15,1,0,8,1,0,3,84,0,2,11
43,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,648,445,240,124,3,13,3,0,4,0,0,3,46,0,5,4
43,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,583,382,203,103,4,6,6,0,3,1,0,3,45,0,0,8
44,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,461,317,143,91,2,9,3,0,4,0,0,0,58,0,2,5
44,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,461,317,152,75,8,11,1,0,2,1,0,4,53,0,4,6
45,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,389,291,148,99,0,4,0,0,4,0,0,2,24,0,3,7
45,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,388,257,117,92,2,4,3,0,1,0,1,1,29,0,0,7
46,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,842,561,232,224,6,22,7,0,7,1,0,4,44,0,4,10
47,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,391,268,147,69,3,7,2,0,1,1,0,2,28,0,2,6
47,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,390,285,150,76,5,10,3,0,2,0,0,2,26,0,2,9
48,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,743,466,253,119,3,10,4,0,6,0,0,3,54,0,2,12
48,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,743,484,246,163,0,11,8,0,5,0,0,1,38,0,0,12
49,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,685,455,203,137,1,16,4,0,4,0,1,0,74,0,3,12
49,CONTIGUA 1,Diputados Locales,Anáhuac,21,Acta contabilizada,619,410,204,124,1,13,2,0,9,0,0,0,50,0,2,5
52,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,360,193,81,72,0,1,9,0,3,0,0,2,19,0,0,6
55,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,273,194,61,54,1,23,5,0,5,0,0,0,34,0,1,10
61,BASICA,Diputados Locales,Anáhuac,21,Acta contabilizada,417,297,126,140,1,0,3,0,3,0,0,1,15,0,0,8
63,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,629,228,61,85,4,1,11,21,6,1,3,3,9,0,13,10
63,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,629,231,55,97,3,5,5,26,4,2,0,4,0,4,9,17
63,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,629,243,53,99,6,6,15,19,7,0,1,5,6,4,12,10
63,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,629,246,62,89,3,4,10,23,6,1,1,9,5,7,16,10
63,ESPECIAL 1,Diputados Locales,Apodaca,16,Acta contabilizada,0,247,61,30,2,6,21,61,8,0,0,9,8,7,27,7
66,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,675,308,77,97,7,6,27,40,10,0,0,3,6,2,24,9
66,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,675,318,78,97,4,13,30,29,11,2,3,5,5,2,29,10
66,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,674,304,71,105,7,5,27,33,5,0,0,6,4,5,29,7
66,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,674,297,64,94,5,14,21,36,12,0,2,4,7,6,21,11
66,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,674,327,85,119,3,5,23,37,5,1,1,6,4,6,25,7
66,EXTRAORDINARIA 1,Diputados Locales,Apodaca,16,Acta contabilizada,512,286,96,58,5,6,22,28,16,1,1,6,7,7,26,7
66,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,512,249,65,50,5,10,18,33,8,1,2,7,3,3,32,12
66,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,512,277,84,58,2,10,18,40,15,0,2,7,7,10,22,2
68,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,749,424,130,113,5,17,35,48,17,0,2,15,2,4,31,5
68,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,749,385,125,100,6,20,30,58,11,2,0,9,10,5,0,9
68,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,749,416,122,116,6,16,22,47,15,1,0,11,11,6,36,7
68,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,749,382,122,110,3,13,22,40,11,1,2,9,12,8,18,11
68,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,749,405,109,111,8,15,29,56,11,1,2,5,9,8,36,5
68,CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,749,402,122,112,9,17,23,49,13,0,2,5,7,8,29,6
68,CONTIGUA 6,Diputados Locales,Apodaca,16,Acta contabilizada,748,376,111,108,9,10,37,36,8,0,2,11,4,5,29,6
68,CONTIGUA 7,Diputados Locales,Apodaca,16,Acta contabilizada,748,405,118,111,6,20,23,48,12,2,2,6,7,11,30,9
69,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,674,369,91,92,7,18,34,53,15,0,3,10,15,5,20,6
69,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,674,363,88,101,6,14,24,50,6,2,3,12,0,5,35,17
69,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,674,362,87,97,4,25,40,48,10,2,0,11,4,5,21,8
69,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,673,347,83,97,5,18,27,63,13,0,1,5,3,6,21,5
69,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,673,373,95,118,2,19,31,40,12,0,1,14,5,7,22,7
69,CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,673,356,97,106,4,21,23,42,9,8,2,6,11,3,18,6
70,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,708,388,118,107,5,13,24,47,7,0,3,10,8,9,30,7
70,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,708,414,125,96,8,15,22,60,16,2,1,9,5,12,37,6
70,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,708,417,144,97,3,8,24,61,17,0,1,12,11,6,26,7
70,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,708,415,141,112,4,20,32,41,14,0,1,8,3,7,26,6
70,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,708,398,130,85,5,11,19,64,8,0,2,11,3,6,43,11
70,CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,708,425,135,102,10,19,24,52,14,0,1,9,7,9,32,11
70,CONTIGUA 6,Diputados Locales,Apodaca,16,Acta contabilizada,708,385,140,86,5,21,23,52,17,0,3,7,4,3,22,2
70,CONTIGUA 7,Diputados Locales,Apodaca,16,Acta contabilizada,707,434,148,107,9,16,21,58,13,2,2,9,6,10,25,8
70,CONTIGUA 8,Diputados Locales,Apodaca,16,Acta contabilizada,707,404,122,111,10,18,22,42,14,4,3,8,7,3,35,5
71,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,526,333,85,81,8,7,25,48,12,4,2,13,5,7,27,9
71,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,526,314,92,82,4,3,24,38,7,1,0,8,7,10,29,9
72,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,433,220,67,57,2,9,16,23,8,3,0,4,1,3,17,10
72,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,433,233,44,81,5,12,8,24,13,0,2,9,4,6,18,7
73,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,601,323,99,78,5,7,18,43,8,0,0,11,7,3,32,12
73,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,601,333,102,96,6,6,18,34,12,1,0,10,8,11,24,5
73,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,601,342,118,80,2,7,20,39,15,2,2,4,6,6,31,10
73,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,600,350,107,97,9,5,25,44,8,0,1,11,6,6,25,6
74,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,645,266,56,123,5,8,26,29,10,0,0,2,0,0,0,7
74,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,645,304,63,121,5,5,22,32,6,0,4,8,1,8,19,10
75,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,511,229,47,102,6,7,16,16,5,0,2,5,2,0,16,5
75,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,510,238,46,98,8,9,13,18,10,0,1,2,5,5,19,4
76,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,669,303,67,121,3,6,22,35,10,0,1,4,11,6,10,7
76,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,668,279,60,115,3,4,14,24,10,0,1,7,9,5,21,6
78,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,521,255,47,114,8,7,15,19,9,1,0,4,3,4,19,5
78,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,521,249,51,107,11,5,19,15,8,0,2,5,3,2,11,10
78,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,520,250,49,103,12,8,13,24,3,0,1,3,7,4,13,10
79,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,653,330,78,137,8,10,17,24,15,1,2,5,4,4,17,8
79,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,653,320,79,129,4,6,31,14,9,0,2,12,4,9,16,5
79,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,653,302,55,136,3,6,25,14,11,1,1,7,3,7,25,8
80,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,560,307,62,144,2,9,17,22,10,0,1,4,7,5,18,6
80,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,559,289,50,150,0,7,14,21,5,1,2,2,7,7,16,7
81,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,675,439,144,94,7,8,18,65,15,3,3,11,8,10,43,10
81,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,675,410,151,86,10,8,21,58,10,1,3,10,5,7,32,8
81,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,674,432,160,77,4,8,16,89,16,2,2,8,4,5,37,4
81,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,674,421,150,75,5,9,16,83,18,1,2,10,7,5,33,7
81,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,674,440,142,100,5,9,19,77,13,2,0,17,3,10,37,6
81,CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,674,408,140,78,9,9,16,74,12,1,0,8,6,16,35,4
82,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,507,284,91,70,9,9,12,46,16,3,2,12,2,7,0,5
82,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,506,310,81,71,16,6,18,47,19,2,1,13,2,4,24,6
83,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,719,415,87,111,14,11,20,51,18,0,0,10,13,10,43,27
84,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,685,236,82,110,4,3,2,4,8,0,1,1,4,1,0,16
84,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,685,386,114,88,5,9,23,49,34,1,1,6,5,6,40,5
84,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,685,371,108,88,7,8,24,45,28,2,3,10,9,14,22,3
84,CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,685,397,119,98,9,12,23,48,29,1,1,7,3,13,28,6
84,CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,684,400,115,106,7,3,25,51,26,1,0,10,5,13,34,4
84,CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,684,384,97,103,7,13,32,52,24,0,1,9,6,12,23,5
84,CONTIGUA 6,Diputados Locales,Apodaca,16,Acta contabilizada,684,365,103,86,5,11,17,44,31,3,1,7,5,7,34,11
84,EXTRAORDINARIA 1,Diputados Locales,Apodaca,16,Acta contabilizada,666,392,118,88,7,11,26,70,14,0,3,8,7,7,23,10
84,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,666,376,129,93,7,8,16,46,25,1,1,8,5,6,25,6
84,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,666,382,137,86,8,5,20,51,20,1,2,7,8,7,24,6
84,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,Apodaca,16,Acta contabilizada,666,388,132,85,2,11,34,49,15,0,1,16,2,3,32,6
84,EXTRAORDINARIA 1 CONTIGUA 4,Diputados Locales,Apodaca,16,Acta contabilizada,666,387,138,84,5,11,27,54,18,0,0,9,6,9,21,5
84,EXTRAORDINARIA 1 CONTIGUA 5,Diputados Locales,Apodaca,16,Acta contabilizada,666,374,121,85,8,7,26,44,12,0,1,8,5,13,33,11
84,EXTRAORDINARIA 1 CONTIGUA 6,Diputados Locales,Apodaca,16,Acta contabilizada,665,386,123,96,1,12,23,57,21,0,2,9,9,3,22,8
85,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,662,337,76,112,6,8,25,54,19,2,3,0,2,7,14,9
85,CONTIGUA 1,Diputados Locales,Apodaca,16,Acta contabilizada,662,323,54,123,11,9,22,41,19,0,2,7,2,2,20,11
85,CONTIGUA 2,Diputados Locales,Apodaca,16,Acta contabilizada,661,332,79,119,6,8,15,36,9,2,0,9,3,8,30,8
86,BASICA,Diputados Locales,Apodaca,16,Acta contabilizada,632,328,69,93,6,7,25,38,19,0,2,12,7,4,38,8
