"CODE","IVEI"
"1/1/1",0.533339249749225
"1/1/10",0.693108675461278
"1/1/100",0.684504199884604
"1/1/101",0.781532085304142
"1/1/102",0.747215192408003
"1/1/103",0.764481180581225
"1/1/104",0.756853806768771
"1/1/105",0.735460345737828
"1/1/106",0.752645903631031
"1/1/107",0.728190809929782
"1/1/108",0.733571540637238
"1/1/109",0.762977942855865
"1/1/11",0.685786763489777
"1/1/110",0.741053473545582
"1/1/111",0.769668249783364
"1/1/112",0.751433188395659
"1/1/113",0.77937068985334
"1/1/114",0.753151944441342
"1/1/115",0.757112083378909
"1/1/116",0.790626452779236
"1/1/117",0.750954983488093
"1/1/118",0.780945376401813
"1/1/119",0.749132338126032
"1/1/12",0.702555154901172
"1/1/120",0.72155242611856
"1/1/121",0.75979880195841
"1/1/122",0.73998123132336
"1/1/123",0.800568861611698
"1/1/124",0.796244032281433
"1/1/125",0.765139525639344
"1/1/126",0.76074686199443
"1/1/127",0.775189634046143
"1/1/128",0.78354553721079
"1/1/129",0.79776304905711
"1/1/13",0.751460840021843
"1/1/130",0.770497209870656
"1/1/131",0.792807607903829
"1/1/132",0.769322473722799
"1/1/133",0.779031315362319
"1/1/134",0.766612371649417
"1/1/135",0.789631462393609
"1/1/136",0.73842359178761
"1/1/137",0.819131932926585
"1/1/138",0.763519976961509
"1/1/139",0.780339719969041
"1/1/14",0.697810012197969
"1/1/140",0.736699386677513
"1/1/141",0.764817705134908
"1/1/142",0.799498510465861
"1/1/143",0.770503936191083
"1/1/144",0.726781941860058
"1/1/145",0.765517218563543
"1/1/146",0.749909509131287
"1/1/147",0.720969029535435
"1/1/148",0.766383597918315
"1/1/149",0.802731919992162
"1/1/15",0.714448498893286
"1/1/150",0.807771274715769
"1/1/151",0.772304575599468
"1/1/152",0.745645668318944
"1/1/153",0.82922516515742
"1/1/154",0.693864437442106
"1/1/155",0.755909640480739
"1/1/156",0.767819002911055
"1/1/157",0.730479162944451
"1/1/158",0.750645258521717
"1/1/159",0.764482546054117
"1/1/16",0.732198534957592
"1/1/160",0.785241079845977
"1/1/161",0.721388309238087
"1/1/162",0.761084727598252
"1/1/163",0.758001309079394
"1/1/164",0.760925398799096
"1/1/165",0.780581053782612
"1/1/167",0.765169350518207
"1/1/168",0.796273494218016
"1/1/169",0.768100518848194
"1/1/17",0.675071921148414
"1/1/170",0.777368275118088
"1/1/171",0.694183939152331
"1/1/172",0.655720673568266
"1/1/173",0.650577343337145
"1/1/174",0.671613170109891
"1/1/175",0.622147511655635
"1/1/176",0.616813579562211
"1/1/177",0.604522135716001
"1/1/178",0.745221416165589
"1/1/179",0.734804349900531
"1/1/18",0.711542002501252
"1/1/180",0.731687339921938
"1/1/181",0.748379634380159
"1/1/182",0.717287175300408
"1/1/183",0.757243223796982
"1/1/184",0.720065111564726
"1/1/185",0.676151250216609
"1/1/186",0.77142581541766
"1/1/187",0.734614486147833
"1/1/188",0.711162984078587
"1/1/189",0.709940854157168
"1/1/19",0.700756468654753
"1/1/190",0.718064218512739
"1/1/191",0.767128167964079
"1/1/192",0.704663632914736
"1/1/193",0.736825858180936
"1/1/194",0.713450771020777
"1/1/195",0.701721138396751
"1/1/196",0.725767329127507
"1/1/197",0.653102659514123
"1/1/198",0.735995988812838
"1/1/199",0.695137791634419
"1/1/2",0.600130647849398
"1/1/20",0.697592109216246
"1/1/200",0.64939555354327
"1/1/201",0.672720529007352
"1/1/202",0.746988227214923
"1/1/203",0.688739113746919
"1/1/204",0.663929608208438
"1/1/205",0.670566512063928
"1/1/206",0.696119959801581
"1/1/207",0.687303649000852
"1/1/208",0.643231642482306
"1/1/209",0.609959639872235
"1/1/21",0.722096909201516
"1/1/210",0.624009729499279
"1/1/211",0.718397559496093
"1/1/212",0.748676385689245
"1/1/213",0.74534957514947
"1/1/214",0.636353028824807
"1/1/215",0.615486099558186
"1/1/216",0.615315220736234
"1/1/217",0.679553685838272
"1/1/218",0.707341231645544
"1/1/219",0.705239821906863
"1/1/22",0.688005212282572
"1/1/220",0.668521384497518
"1/1/221",0.673742898921205
"1/1/222",0.684856553285424
"1/1/223",0.782898509617115
"1/1/224",0.739006475169108
"1/1/225",0.761457985459087
"1/1/226",0.685520234553998
"1/1/227",0.717735913473821
"1/1/228",0.726887581469979
"1/1/229",0.756309712639056
"1/1/23",0.673583293354157
"1/1/230",0.73748362106534
"1/1/231",0.712980155228268
"1/1/232",0.78387167395367
"1/1/233",0.747110886700934
"1/1/234",0.757189919329426
"1/1/235",0.740253030737549
"1/1/236",0.758473334043491
"1/1/237",0.764820658909265
"1/1/238",0.784742720964912
"1/1/239",0.776749763475514
"1/1/24",0.668323617525429
"1/1/240",0.713226225694536
"1/1/241",0.713592758375396
"1/1/242",0.707418549525776
"1/1/243",0.758953202133384
"1/1/244",0.749528179480358
"1/1/245",0.761522926362908
"1/1/246",0.782009232725857
"1/1/247",0.730824935490499
"1/1/248",0.730278067665081
"1/1/249",0.706039190877203
"1/1/25",0.661635000038353
"1/1/250",0.710133180569584
"1/1/251",0.707658588195764
"1/1/252",0.763323290028653
"1/1/253",0.756813370088231
"1/1/254",0.71259717705092
"1/1/255",0.647891715647836
"1/1/256",0.711762671359451
"1/1/257",0.749423185117604
"1/1/258",0.741792088746287
"1/1/259",0.735036605522609
"1/1/26",0.684318691535141
"1/1/260",0.76075996443335
"1/1/261",0.744370245119903
"1/1/262",0.718293125408029
"1/1/263",0.760381603484906
"1/1/264",0.749932362232841
"1/1/265",0.725113129369637
"1/1/266",0.738026404837731
